PadID	Sector	Row  PadInRow     gCenX       gCenZ       gx[0]       gz[0]       gx[1]       gz[1]       gx[2]       gz[2]       gx[3]       gz[3]       lCenX       lCenZ       lx[0]       lz[0]       lx[1]       lz[1]       lx[2]       lz[2]       lx[3]       lz[3]
86	0	2         1      13.575     -22.175       12.86    -22.6137       14.29    -21.2363       14.29    -21.7627       12.86    -23.0873      22.175      13.575     22.6137       12.86     21.2363       14.29     21.7627       14.29     23.0873       12.86
87	0	2         2      13.575     -22.675       12.86    -23.0873       14.29    -21.7627       14.29     -22.289       12.86     -23.561      22.675      13.575     23.0873       12.86     21.7627       14.29      22.289       14.29      23.561       12.86
88	0	2         3      13.575     -23.175       12.86     -23.561       14.29     -22.289       14.29    -22.8153       12.86    -24.0347      23.175      13.575      23.561       12.86      22.289       14.29     22.8153       14.29     24.0347       12.86
89	0	2         4      13.575     -23.675       12.86    -24.0347       14.29    -22.8153       14.29    -23.3417       12.86    -24.5083      23.675      13.575     24.0347       12.86     22.8153       14.29     23.3417       14.29     24.5083       12.86
90	0	2         5      13.575     -24.175       12.86    -24.5083       14.29    -23.3417       14.29     -23.868       12.86     -24.982      24.175      13.575     24.5083       12.86     23.3417       14.29      23.868       14.29      24.982       12.86
91	0	2         6      13.575     -24.675       12.86     -24.982       14.29     -23.868       14.29    -24.3943       12.86    -25.4557      24.675      13.575      24.982       12.86      23.868       14.29     24.3943       14.29     25.4557       12.86
92	0	2         7      13.575     -25.175       12.86    -25.4557       14.29    -24.3943       14.29    -24.9207       12.86    -25.9293      25.175      13.575     25.4557       12.86     24.3943       14.29     24.9207       14.29     25.9293       12.86
93	0	2         8      13.575     -25.675       12.86    -25.9293       14.29    -24.9207       14.29     -25.447       12.86     -26.403      25.675      13.575     25.9293       12.86     24.9207       14.29      25.447       14.29      26.403       12.86
94	0	2         9      13.575     -26.175       12.86     -26.403       14.29     -25.447       14.29    -25.9734       12.86    -26.8766      26.175      13.575      26.403       12.86      25.447       14.29     25.9734       14.29     26.8766       12.86
95	0	2        10      13.575     -26.675       12.86    -26.8766       14.29    -25.9734       14.29    -26.4997       12.86    -27.3503      26.675      13.575     26.8766       12.86     25.9734       14.29     26.4997       14.29     27.3503       12.86
96	0	2        11      13.575     -27.175       12.86    -27.3503       14.29    -26.4997       14.29     -27.026       12.86     -27.824      27.175      13.575     27.3503       12.86     26.4997       14.29      27.026       14.29      27.824       12.86
97	0	2        12      13.575     -27.675       12.86     -27.824       14.29     -27.026       14.29    -27.5524       12.86    -28.2976      27.675      13.575      27.824       12.86      27.026       14.29     27.5524       14.29     28.2976       12.86
98	0	2        13      13.575     -28.175       12.86    -28.2976       14.29    -27.5524       14.29    -28.0787       12.86    -28.7713      28.175      13.575     28.2976       12.86     27.5524       14.29     28.0787       14.29     28.7713       12.86
